Product_ID,User_ID,Transaction_ID,Date,Rating,Comment,user_ID,user_no,label,MNR,ANR,NDR,BST,ENR,MeanVar,TMF,PopRank,DisAvg,CatEnt
B00621A56U,1348900878,1060110932,2011-01-12,5,很喜欢 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B00621A2Y0,1348900878,1060111782,2011-01-12,5,看看总归没啥坏处 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B00621A1RI,1348900878,1060111002,2011-01-12,5,很好 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0067EUMG0,1348900878,1060167032,2011-02-12,5,推荐 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0067EUL02,1348900878,1060167152,2011-02-12,5,理解很多东西 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0067EUKU8,1348900878,1060167872,2011-02-12,5,实惠~ N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0067EUKCG,1348900878,1060169062,2011-02-12,5,指导你行动的书 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0067EUJZO,1348900878,1060167732,2011-02-12,5,我喜欢 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0065EG79S,1348900878,1060168872,2011-02-12,5,面部刮痧 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B0065EG6S0,1348900878,1060169942,2011-02-12,5,女人苦啊 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B004TJL944,1348900878,1053745282,2011-09-14,5,非常满意 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B005UIRB2W,1348900878,1058726592,2011-10-11,5,增长了许多知识 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B005Q6O7JI,1348900878,1058720522,2011-10-11,5,改变人生的一本书 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B005Q6O81A,1348900878,1058725062,2011-10-11,5,做对人做对事 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B005TYBPTC,1348900878,1058734832,2011-10-11,5,很有教育意义的小故事。 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
B005TYBQ00,1348900878,1058734602,2011-10-11,5,细细体会 N,1348900878,9407,1,0.0238284,0.0325581,0.0166028,0.00399745,0.309115,0.250314,1.54965e-05,0.0108696,0.66523948,0.324898185
