Product_ID,User_ID,Transaction_ID,Date,Rating,Comment,user_ID,user_no,label,MNR,ANR,NDR,BST,ENR,MeanVar,TMF,PopRank,DisAvg,CatEnt
B004FPZGIW,1337106458,1052976852,2011-01-09,5,懂得欣赏 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRBXQ,1337106458,1058358842,2011-04-11,5,游戏指导书 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRBHC,1337106458,1058339062,2011-04-11,5,质量过关 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRB2W,1337106458,1058357742,2011-04-11,5,实用 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005TYBQL4,1337106458,1058360292,2011-04-11,5,挺好的 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005TYBQF0,1337106458,1058338752,2011-04-11,5,不错的一本书 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRBOU,1337106458,1058361612,2011-04-11,5,觉得受益匪浅 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005Q6O81A,1337106458,1058360042,2011-04-11,5,让自己获得更好的知识！ N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRC94,1337106458,1058359062,2011-04-11,5,很实用 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005UIRD52,1337106458,1058340142,2011-04-11,5,质量很好 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005Q6O7JI,1337106458,1058336302,2011-04-11,5,挺不错 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005TYBQ00,1337106458,1058492292,2011-06-11,5,全买了 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
B005TYBQ3M,1337106458,1058491602,2011-06-11,5,适合人群较广 N,1337106458,9374,1,0.0296532,0.0697674,0.0114943,0.00183908,0.449141,0.24941,9.52784e-05,0.0108696,0.679107425,0.274020897
