Product_ID,User_ID,Transaction_ID,Date,Rating,Comment,user_ID,user_no,label,MNR,ANR,NDR,BST,ENR,MeanVar,TMF,PopRank,DisAvg,CatEnt
B004NRNNQ4,1163675648,1045716652,2011-01-04,5,不错,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004PKO1B0,1163675648,1045702722,2011-01-04,5,我的最爱 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004Q3QH9A,1163675648,1045703252,2011-01-04,5,很美 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004Q3QH9U,1163675648,1045700132,2011-01-04,5,责任胜于能力 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B0051KBJ1S,1163675648,1048554652,2011-01-06,5,考后分析同样重要 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B001PTHM1K,1163675648,1046050492,2011-02-04,5,评论,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004OL31XY,1163675648,1046022422,2011-02-04,5,喜欢 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004OL31ZW,1163675648,1046022392,2011-02-04,5,还不错 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B00590Z5NS,1163675648,1053079222,2011-02-09,5,物美价廉! N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B00524FIPG,1163675648,1053105062,2011-03-09,5,这本书是明智的选择！ N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004LI9OM2,1163675648,1045608822,2011-03-30,5,有帮助 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004NRNNPA,1163675648,1045603442,2011-03-30,5,很受益的一本书 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B00590Z3I0,1163675648,1053154652,2011-04-09,5,打算每天都看一点，就当工具书了 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004E8NDK8,1163675648,1046931522,2011-04-20,5,堪称销售教科书 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004TJJZE0,1163675648,1047018172,2011-04-23,5,太棒了！ N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B0011F6XIQ,1163675648,1047019832,2011-04-23,5,不错！ N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B003X0JLIG,1163675648,1046172782,2011-05-04,5,感动 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004BQ4MS0,1163675648,1046169742,2011-05-04,5,GOOD N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004FPZGIW,1163675648,1046170772,2011-05-04,5,舒适的读物 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B004FPZGJ6,1163675648,1046176352,2011-05-04,5,最具人性的一面 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B001QDT92A,1163675648,1046175132,2011-05-04,5,好书,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
B0056Q46FS,1163675648,1053205132,2011-05-09,5,通俗易懂 N,1163675648,6102,1,0.064072,0.2,0.0166028,0.00157088,0.653897,0.0728186,0.000174084,0.0108696,0.653284892,0.077255125
